"","Model","MSE"
"10","ksvm",3313.25057396167
"22","rvm",3534.85785369843
"13","randomForest",3637.90564018096
"18","mars",3752.78398461563
"15","cubist",4596.2976207764
"8","rpart",5114.89567139728
"12","mlpe",5223.43759382091
"11","mlp",5514.67693188675
"16","lm",5565.46052730407
"20","plsr",5565.46052730408
"21","cppls",5565.46052730408
"19","pcr",5565.46052730409
"17","mr",5565.46055550602
"5","naive",5783.47267640321
"6","ctree",5920.70152124536
"7","cv.glmnet",6039.90717951213
"14","xgboost",6315.40097664802
"9","kknn",6629.03041547106
"3","ets",8068.77167532311
"1","HW",9400.32633547438
"2","auto.arima",9759.83286226226
"4","nnetar",15722.3160388503
