"","Model","MSE"
"3","ets",8068.77167532311
"1","HW",9400.32633547438
"2","auto.arima",9759.83286226226
"4","nnetar",15722.3160388503
"17","mr",21090.0060442083
"19","pcr",21090.0060534808
"21","cppls",21090.0060534808
"16","lm",21090.0060534808
"20","plsr",21090.0060534808
"10","ksvm",21807.4015576901
"13","randomForest",22137.1205969601
"15","cubist",22922.680071643
"18","mars",23600.6356279631
"5","naive",23835.7102340123
"7","cv.glmnet",24091.2549579478
"14","xgboost",24826.1996056916
"6","ctree",25079.1679818724
"9","kknn",25988.2092288843
"12","mlpe",25990.6485527007
"11","mlp",26063.6607624936
"8","rpart",27080.3340561097
"22","rvm",28052.6307198909
"23","weekly_naive",46756.0928571429
