"","Model","MSE"
"9","kknn",4172.63785979996
"22","rvm",4250.76508808398
"10","ksvm",4380.95518165814
"18","mars",4742.25395563293
"14","xgboost",4829.89573914356
"15","cubist",5009.45912473043
"17","mr",5163.23291395658
"16","lm",5163.23291545178
"21","cppls",5163.23291545179
"20","plsr",5163.23291545179
"19","pcr",5163.23291545179
"6","ctree",5335.99378455117
"11","mlp",5429.91128639634
"8","rpart",5650.18689454868
"5","naive",5663.47802980217
"7","cv.glmnet",6008.10524158932
"12","mlpe",6322.28003955387
"13","randomForest",6616.96859796178
"3","ets",7486.89183925146
"1","HW",8755.61609571287
"2","auto.arima",9134.69521213079
"4","nnetar",13400.9150212074
