"","Model","MSE"
"10","ksvm",1363.76622164386
"15","cubist",1799.61620963766
"14","xgboost",2252.66076458631
"16","lm",2791.58659634836
"20","plsr",2791.58659634836
"19","pcr",2791.58659634837
"21","cppls",2791.58659634837
"17","mr",2791.58666452291
"22","rvm",3028.52181582415
"11","mlp",3319.68545521973
"2","auto.arima",3513.56716156888
"12","mlpe",3581.85175826747
"1","HW",4088.35830462363
"9","kknn",4297.35503122476
"13","randomForest",4864.03487389357
"3","ets",4876.04722508348
"8","rpart",5407.8916363106
"6","ctree",6042.99334324765
"18","mars",6079.83734524207
"7","cv.glmnet",6603.5470984664
"5","naive",6877.0168234421
"4","nnetar",11852.5165026558
