"","Model","MSE"
"10","ksvm",1190.44057084241
"15","cubist",1730.3870188031
"19","pcr",2041.69162644256
"20","plsr",2041.69162644256
"21","cppls",2041.69162644257
"16","lm",2041.69162644257
"17","mr",2041.69164242554
"14","xgboost",2267.14852574509
"12","mlpe",2439.40183898195
"11","mlp",2595.75553944777
"22","rvm",2914.07832012373
"9","kknn",3138.68758579214
"2","auto.arima",3513.56716156888
"18","mars",3919.19330445269
"1","HW",4088.35830462363
"6","ctree",4220.18120633284
"13","randomForest",4546.64845161357
"8","rpart",4846.54453694745
"3","ets",4876.04722508348
"7","cv.glmnet",6558.35510668236
"5","naive",6877.0168234421
"4","nnetar",11852.5165026558
