"","Model","MSE"
"10","ksvm",1974.3435506881
"15","cubist",2257.07529190611
"14","xgboost",2520.60521737463
"21","cppls",3437.80767979819
"16","lm",3437.80767979819
"20","plsr",3437.8076797982
"19","pcr",3437.8076797982
"17","mr",3437.8077317789
"11","mlp",3477.56968567069
"22","rvm",3560.06742640337
"1","HW",3672.72900921975
"12","mlpe",3794.92891749311
"2","auto.arima",3858.69236276795
"3","ets",5224.26057099328
"6","ctree",5554.71600302597
"8","rpart",5554.71600302597
"18","mars",5756.73175190677
"7","cv.glmnet",6947.79090469989
"5","naive",7366.46562070895
"13","randomForest",8012.97338399181
"9","kknn",11071.8758019425
"4","nnetar",14674.1169503245
